기관,장소 또는 주관기관명,학년,일자 또는 기간,활동내용,시간,시간누계
학교,경기여자고등학교,1,20130520,하도리 어촌 해변 쓰레기 줍기,2,2
학교,경기여자고등학교,1,20130521,우도봉 및 산호사해수욕장 주변 환경 정화 활동,2,4
학교,경기여자고등학교,1,20130522,수학여행 평가회,1,5
학교,경기여자고등학교,1,20131024,올림픽공원 내 환경 정화,2,7
학교,경기여자고등학교,2,20140521,봉사활동 사전 교육 및 안내,1,1
학교,경기여자고등학교,2,20140521,경기여자고등학교 인근 지역 및 양재천 자연 정화 활동,1,2
학교,경기여자고등학교,2,20141023,올림픽공원내 자연보호를 위한 환경정화 활동,2,4
학교,경기여자고등학교,2,20141107,세계의 빈곤에 대한 이해 교육과 나눔 교육,2,6
학교,경기여자고등학교,2,20141107,자원의 순환과 나눔을 실천하는 이면지 손수첩 만들어 기증하기 봉사활동,5,11
학교,경기여자고등학교,3,20150520,올림픽 공원 및 몽촌토성 일대의 쓰레기 분리수거 및 환경 정리,3,3
학교,강남구자원봉사센터,1,20131011,자원봉사 기본교육 이수 및 자원의 순환과 나눔을 실천하는 이면지 손수첩 만들기,7,7
개인,경기여고 학부모 샤프론 봉사단,2,20140502,"운동화에 세계 평화, 우정, 희망을 상징하는 그림을 그린 후 해외 빈곤 청소년들에게 보내어 희망의 메시지 전하기",3,3
개인,능인종합사회복지관,2,20140315 - 20141220,"독거어르신 말벗, 안부전화, 상담 등 정서지원",36,36
개인,다니엘복지원,1,20130915,지적장애아동 미술교육(고무찰흙 추석상 차리기),3,3
개인,다니엘복지원,1,20131020,지적장애아동 미술교육 프로그램 진행,3,6
개인,다니엘복지원,1,20131025 - 20131026,지적장애아동 1박2일 가정 초대 프로그램 진행,10,16
개인,다니엘복지원,1,20131117,지적장애인 하모니카교육,3,19
개인,다니엘복지원,1,20131123,"운동화 그리기, 면생리대 교육 및 모금활동 보조",3,22
개인,다니엘복지원,1,20131224,지적 장애아동 가정초대프로그램 진행,1,23
개인,다니엘복지원,1,20131225,지적 장애아동 가정초대프로그램 진행,8,31
개인,다니엘복지원,1,20131228,"운동화 그리기, 면생리대 교육 및 모금활동 보조",3,34
개인,다니엘복지원,1,20140119,지적장애아동 미술 및 하모니카 교육,3,37
개인,다니엘복지원,1,20140125,"운동화 그리기, 면생리대 교육 및 모금활동 보조",3,40
개인,다니엘복지원,1,20140216,지적 장애아동 미술교육프로그램 진행,3,43
개인,다니엘복지원,1,20140222,운동화 그리기 및 위생용품 만들기 교육 및 기부금 모금활동,3,46
개인,다니엘복지원,2,20140316 - 20141019,"지적장애아동 미술 및 학습지도, 빈곤국가 후원용 운동화 그리기 및 위생용품 만들기 프로그램에 참여",24,24
개인,다니엘복지원,2,20141221,크리스마스 카드만들기 미술지도,3,27
개인,다니엘복지원,3,20150315 - 20150517 ,발달장애아동 점토 미술지도,9,9
개인,다니엘지원,1,20131215,지적장애아동 미술 크리스마스 트리꾸미기 프로그램 진행,3,3
개인,법률(소비자) 연맹,1,20140111 - 20140206,"이슈 바로 알기 - 언론 모니터링 활동 '북한의 평화 공세'에 대한 기사 비교 분석, 전문성있는 봉사활동을 위한 법생활교양과정 및 사회봉사 종합오리엔테이션 참석, 세계 헌법 및 정보 바로 알기 번역봉사활동 -스페인 / 말레이시아 헌법 영문번역을 중심으로",51,51
개인,법률(소비자)연맹,2,20140719 - 20141002,"법률(소비자)연맹에서 실시하는 언론모니터링 활동, 법생활교양과정 및 사회봉사 오리엔테이션 참석, 세계헌법 알기 번역봉사활동에 참여함",33,33
개인,비전학교지역아동센터,1,20140214 - 20140228,초등학생 영어학습지도,4,4
개인,사단법인북한인권시민연합 ,1,20131016,탈북 청소년 돕기 뷰티플드림콘서트 관람 및 홍보활동,1,1
개인,사단법인아름다운대한민국,1,20130901 - 20131013," ""하쿠나 마타타""운동으로 아이스크림 판매하여 수익금으로 소아암 어린이와 시각 장애인 가정에 전달하는데 적극적으로 참여함.",8,8
개인,사단법인아름다운대한민국,1,20140104 - 20140117,하쿠나 마타타(근심 걱정 모두 떨쳐버려)운동'으로 방학중 다문화 가정 학습지도 및 학습지도 가정집에 김치와 과일등을 전달하였음,16,24
개인,서울초중등다문화교육연구,1,20130727,다문화 학생 멘토 활동,6,6
개인,세이브더칠드런코리아,1,20131030 - 20131112,신생아살리기 모자뜨기 캠페인 시즌7 참여,5,5
개인,세이브더칠드런코리아,2,20141027 - 20141230,세이브더칠드런의 신생아살리기 모자뜨기 캠페인에 참여함,5,5
개인,이주여성 자조단체 톡투미,1,20131220,"이주여성 자조봉사단체 톡투미(Talk to Me) ’다문화이주여성 돕기바자회행사’ 문화적 기부 및 후원금 10,000원 전달",2,2
개인,한국멘토링운동협동조합,2,20150110 - 20150117,서로나눔네트워크에서 연결된 다문화가정 학생집에서 학습지도를 성실하게 수행함,6,6
개인,한국사회복지협의회,1,20130316 - 20131012,"말벗, 안부전화, 상담 등의 정서지원",20,20
개인,한국사회복지협의회,1,20131102,"말벗, 안부전화, 상담 등의 정서지원",4,24
개인,한국사회복지협의회,1,20131214,"말벗, 안부전화, 상담 등의 정서지원",4,28
개인,한국사회복지협의회,1,20140103 - 20140203 ,교육지원(학습지도 등),14,42
개인,한국사회복지협의회,2,20140726 - 20141019,"다니엘복지원의 지적장애아동에 대한 미술, 수학 학습지도 및 저개발국가 후원 물품 만들기 행사에 참여하여 각종 행사보조활동을 함",9,9
개인,한국시민자원봉사회,1,20130505 - 20130506,"세계 평화, 우정, 희망을 상징하는 그림을 그린 운동화를 빈곤 청소년들에게 전달하기.",4,4
개인,한국중앙자원봉사센터,1,20130420,강남구 어버이날 행사 카네이션 나눔 봉사,4,4
개인,한국중앙자원봉사센터,2,20140531 - 20140814,한국청소년멘토링운동협동조합 학습멘토링에 2회 참여함,7,7
